INSTNM,NPT4_PUB,Year,STABBR,CITY
Marymount Manhattan College,,2007,NY,New York
Memorial Hospital School of Radiation Therapy Technology,,2007,NY,New York
Merce Cunningham Studio,,2007,NY,New York
Mesivtha Tifereth Jerusalem of America,,2007,NY,New York
Mount Sinai School of Medicine,,2007,NY,New York
Neighborhood Playhouse School of the Theater,,2007,NY,New York
The New School,,2007,NY,New York
Career Academy of New York,,2007,NY,New York
New York Institute of English and Business,,2007,NY,New York
New York Law School,,2007,NY,New York
New York University,,2007,NY,New York
New York College of Podiatric Medicine,,2007,NY,New York
New York Institute of Technology-Manhattan Campus,,2007,NY,New York
New York School of Interior Design,,2007,NY,New York
Pace University-New York,,2007,NY,New York
Professional Business College,,2007,NY,New York
Empire Beauty School-Manhattan,,2007,NY,New York
New York Career Institute,,2007,NY,New York
SUNY College of Optometry,,2007,NY,New York
Swedish Institute College of Health Sciences,,2007,NY,New York
Teachers College at Columbia University,,2007,NY,New York
Technical Career Institutes,,2007,NY,New York
Touro College,,2007,NY,New York
Sanford-Brown Institute,,2007,NY,New York
Union Theological Seminary,,2007,NY,New York
School of Visual Arts,,2007,NY,New York
Wood Tobe-Coburn School,,2007,NY,New York
Yeshiva University,,2007,NY,New York
Hebrew Union College-California Branch,,2007,CA,Los Angeles
Hebrew Union College-Jewish Institute of Religion,,2007,NY,New York
The Art Institute of New York City,,2007,NY,New York
New York Academy of Art,,2007,NY,New York
Los Angeles ORT Technical Institute,,2007,CA,Los Angeles
Everest College-West Los Angeles,,2007,CA,Los Angeles
Universal College of Beauty Inc,,2007,CA,Los Angeles
Dance Theatre of Harlem Inc,,2007,NY,New York
New York International Beauty School Ltd,,2007,NY,New York
Diversified Language Institute,,2007,CA,Los Angeles
World Mission University,,2007,CA,Los Angeles
Yo San University of Traditional Chinese Medicine,,2007,CA,Los Angeles
California Design College,,2007,CA,Los Angeles
Marian Health Careers Center,,2007,CA,Los Angeles
Pacific College of Oriental Medicine-New York,,2007,NY,New York
New York Paralegal School,,2007,NY,New York
New York Conservatory for Dramatic Arts,,2007,NY,New York
Lia Schorr Institute of Cosmetic Skin Care Training,,2007,NY,New York
Studio Jewelers,,2007,NY,New York
Virginia Sewing Machines and School Center,,2007,CA,Los Angeles
American Barber Institute Inc,,2007,NY,New York
ICDC College,,2007,CA,Los Angeles
Community Based Education Development,,2007,CA,Los Angeles
Harlem School of Technology Inc,,2007,NY,New York
The Chubb Institute-Manhattan,,2007,NY,New York
California Healing Arts College,,2007,CA,Los Angeles
West Coast University,,2007,CA,Los Angeles
CES College,,2007,CA,Los Angeles
Liberty Training Institute,,2007,CA,Los Angeles
Ladera Career Paths Training Centers,,2007,CA,Los Angeles
Walter Jay MD Institute An Educational Center,,2007,CA,Los Angeles
Carsten Institute of New York,,2007,NY,New York
Palace Beauty College,,2007,CA,Los Angeles
Aveda Institute New York,,2007,NY,New York
Meridian Institute,,2007,CA,Los Angeles
New Age Training,,2007,NY,New York
USA Beauty School International,,2007,NY,New York
ABI School of Barbering & Cosmetology of Tribeca,,2007,NY,New York
Golden Gate University-Los Angeles,,2007,CA,Los Angeles
Mount Saint Marys College,,2007,CA,Los Angeles
Pratt Manhattan-A Division of Pratt Institute,,2007,NY,New York
Union Institute & University,,2007,CA,Los Angeles
Abram Friedman Occupational Center,,2008,CA,Los Angeles
American Film Institute Conservatory,,2008,CA,Los Angeles
American Intercontinental University,,2008,CA,Los Angeles
American Career College,,2008,CA,Los Angeles
Associated Technical College,,2008,CA,Los Angeles
Bryan College,,2008,CA,Los Angeles
California State University-Los Angeles,,2008,CA,Los Angeles
University of California-Los Angeles,,2008,CA,Los Angeles
Charles Drew University of Medicine and Science,,2008,CA,Los Angeles
Cleveland Chiropractic College of Los Angeles,,2008,CA,Los Angeles
The Fashion Institute of Design & Merchandising-Los Angeles,,2008,CA,Los Angeles
LA College International,,2008,CA,Los Angeles
American Jewish University,,2008,CA,Los Angeles
Los Angeles Southwest College,,2008,CA,Los Angeles
Los Angeles Trade Technical College,,2008,CA,Los Angeles
Los Angeles City College,,2008,CA,Los Angeles
Los Angeles County College of Nursing and Allied Health,,2008,CA,Los Angeles
Loyola Marymount University,,2008,CA,Los Angeles
Marinello School of Beauty,,2008,CA,Los Angeles
Mount St Mary's College,,2008,CA,Los Angeles
Everest College-LA Wilshire,,2008,CA,Los Angeles
Marinello School of Beauty,,2008,CA,Los Angeles
Occidental College,,2008,CA,Los Angeles
Otis College of Art and Design,,2008,CA,Los Angeles
Pacific States University,,2008,CA,Los Angeles
Dongguk Royal University,,2008,CA,Los Angeles
Samra University of Oriental Medicine,,2008,CA,Los Angeles
Westwood College-Los Angeles,,2008,CA,Los Angeles
Southern California Institute of Architecture,,2008,CA,Los Angeles
University of Southern California,,2008,CA,Los Angeles
Southwestern Law School,,2008,CA,Los Angeles
