INSTNM,CITY,STABBR,UGDS,PCTPELL
Miles College,Fairfield,AL,1687,0.8465
University of Puerto Rico-Aguadilla,Ramey,PR,2759,0.8462
Missouri College,Brentwood,MO,1050,0.8458
Inter American University of Puerto Rico-Aguadilla,Aguadilla,PR,4203,0.8454
Inter American University of Puerto Rico-Ponce,Mercedita,PR,5353,0.8452
ASA Institute of Business and Computer Technology,Brooklyn,NY,4575,0.8451
Fortis Institute-Erie,Erie,PA,1550,0.8451
Brown Mackie College-Cincinnati,Cincinnati,OH,1848,0.845
ATI College of Health,Miami,FL,1209,0.8449
Inter American University of Puerto Rico-Guayama,Guayama,PR,2054,0.8448
Mississippi Delta Community College,Moorhead,MS,3229,0.8443
Universidad Metropolitana,Cupey,PR,11503,0.8443
University of Puerto Rico-Aguadilla,Ramey,PR,2837,0.844
Bayamon Central University,Bayamon,PR,1753,0.8438
Lincoln College of Technology-West Palm Beach,West Palm Beach,FL,1599,0.8434
Alcorn State University,Alcorn State,MS,3208,0.8434
Inter American University of Puerto Rico-San German,San German,PR,4494,0.8433
University of Puerto Rico-Utuado,Utuado,PR,1426,0.8432
Ohio University-Chillicothe Campus,Chillicothe,OH,2188,0.843
Orangeburg Calhoun Technical College,Orangeburg,SC,2715,0.8428
American InterContinental University-Atlanta,Atlanta,GA,1271,0.8428
Concorde Career College,Memphis,TN,1113,0.8421
East Mississippi Community College,Scooba,MS,4993,0.8417
Florida Career College,Miami,FL,3949,0.8412
Technical Career Institutes,New York,NY,4196,0.8411
Pontifical Catholic University of Puerto Rico-Ponce,Ponce,PR,5255,0.8404
University of Puerto Rico-Aguadilla,Ramey,PR,2842,0.8404
Western Technical College,El Paso,TX,1030,0.8402
Columbia Centro Universitario,Caguas,PR,1258,0.8398
MBTI Business Training Institute,Santurce,PR,3300,0.8398
College of Micronesia-FSM,Pohnpei,FM,3401,0.8396
Briarcliffe College,Bethpage,NY,1726,0.839
Monroe College-Main Campus,Bronx,NY,4190,0.8387
Davidson County Community College,Thomasville,NC,3570,0.8385
Heald College-Rancho Cordova,Rancho Cordova,CA,1324,0.8384
Bryant & Stratton College-Online,Orchard Park,NY,2132,0.8383
Wright Career College,Overland Park,KS,1763,0.8383
Remington College-Memphis Campus,Memphis,TN,1030,0.8382
Everest University-South Orlando,Orlando,FL,25392,0.8381
Inter American University of Puerto Rico-San German,San German,PR,4523,0.8379
Berea College,Berea,KY,1613,0.8376
EDP College of Puerto Rico Inc-San Juan,San Juan,PR,1139,0.8375
Virginia College-Montgomery,Montgomery,AL,1025,0.8375
Inter American University of Puerto Rico-San German,San German,PR,4730,0.8368
Arkansas Baptist College,Little Rock,AR,1077,0.8365
Brown Mackie College-Louisville,Louisville,KY,1420,0.8364
Atlantic College,Guaynabo,PR,1168,0.836
Everest University-Brandon,Tampa,FL,10516,0.8352
American Professional Institute,Macon,GA,1299,0.8351
Kaplan College-San Antonio-San Pedro,San Antonio,TX,1175,0.8351
Bryan University,Los Angeles,CA,1315,0.835
Caribbean University-Bayamon,Bayamon,PR,1572,0.8347
Southwest University at El Paso,El Paso,TX,1296,0.8346
Livingstone College,Salisbury,NC,1172,0.8344
EDP University of Puerto Rico Inc-San Sebastian,San Sebastian,PR,1195,0.8341
Inter American University of Puerto Rico-Bayamon,Bayamon,PR,5124,0.8339
Chicago State University,Chicago,IL,4593,0.8337
Everest University-Pompano Beach,Pompano Beach,FL,1746,0.8336
Mississippi Valley State University,Itta Bena,MS,2016,0.8335
Virginia College-Greenville,Greenville,SC,1054,0.8333
Livingstone College,Salisbury,NC,1082,0.833
Albany Technical College,Albany,GA,4666,0.833
Brown Mackie College-Akron,Akron,OH,1120,0.8326
Miles College,Fairfield,AL,1630,0.8324
Hudson County Community College,Jersey City,NJ,9134,0.8322
United Talmudical Seminary,Brooklyn,NY,1515,0.8317
Bryant and Stratton College-Richmond,North Chesterfield,VA,1004,0.8317
San Joaquin Valley College-Rancho Cucamonga,Rancho Cucamonga,CA,1150,0.8311
Pueblo Community College,Pueblo,CO,4922,0.831
Monroe College-Main Campus,Bronx,NY,4076,0.8309
Charter College-Canyon Country,Canyon Country,CA,1015,0.8309
Universidad Adventista de las Antillas,Mayaguez,PR,1205,0.8303
Wright Career College,Overland Park,KS,1313,0.8301
ITT Technical Institute-San Bernardino,San Bernardino,CA,1249,0.8301
National University College-Rio Grande,Rio Grande,PR,1868,0.8301
Kaplan University-Omaha Campus,Omaha,NE,1044,0.8299
