INSTNM,SATVR75,SATWR75,SATMT75,mn_earn_wne_p10,CITY
UNIVERSITY OF CHICAGO,770,,760,,CHICAGO
Williams College,770,,760,,Williamstown
SWARTHMORE COLLEGE,770,,760,,SWARTHMORE
SWARTHMORE COLLEGE,770,,760,,SWARTHMORE
Swarthmore College,770,,760,,Swarthmore
Williams College,770,,760,83200,Williamstown
Williams College,770,,760,,Williamstown
University of Chicago,770,,760,94300,Chicago
Pomona College,770,750,760,69100,Claremont
Amherst College,770,760,760,,Amherst
Amherst College,770,760,760,94900,Amherst
Swarthmore College,770,770,760,67900,Swarthmore
Pomona College,770,780,760,,Claremont
Williams College,760,,760,87000,Williamstown
DARTMOUTH COLLEGE,760,,760,,HANOVER
Williams College,760,,760,,Williamstown
POMONA COLLEGE,760,,760,,CLAREMONT
POMONA COLLEGE,760,,760,,CLAREMONT
WILLIAMS COLLEGE,760,,760,,WILLIAMSTOWN
BROWN UNIVERSITY,760,,760,,PROVIDENCE
Williams College,760,,760,,Williamstown
Carleton College,760,750,760,,Northfield
Swarthmore College,760,760,760,,Swarthmore
Amherst College,760,760,760,,Amherst
Bowdoin College,760,760,760,,Brunswick
Pomona College,760,760,760,,Claremont
Tufts University,760,760,760,,Medford
Haverford College,760,760,760,,Haverford
University of Notre Dame,750,,760,83100,Notre Dame
UNIVERSITY OF PENNSYLVANIA,750,,760,,PHILADELPHIA
RICE UNIVERSITY,750,,760,,HOUSTON
University of Notre Dame,750,720,760,91400,Notre Dame
Paul Quinn College,750,730,760,37000,Dallas
Claremont McKenna College,750,740,760,,Claremont
Carleton College,750,750,760,56900,Northfield
Northwestern University,740,,760,82800,Evanston
Northwestern University,740,,760,,Evanston
UNIVERSITY OF PENNSYLVANIA,740,,760,,PHILADELPHIA
RICE UNIVERSITY,740,,760,,HOUSTON
UNIVERSITY OF PENNSYLVANIA,740,,760,,PHILADELPHIA
DUKE UNIVERSITY,740,,760,,DURHAM
Northwestern University,740,,760,,Evanston
University of Notre Dame,740,720,760,,Notre Dame
Vanderbilt University,740,730,760,,Nashville
University of Notre Dame,740,730,760,,Notre Dame
Emory University,740,740,760,75000,Atlanta
Brown University,740,750,760,81400,Providence
Claremont McKenna College,740,750,760,,Claremont
Tufts University,740,760,760,,Medford
Tufts University,740,760,760,91900,Medford
Johns Hopkins University,730,,760,,Baltimore
UNIVERSITY OF PENNSYLVANIA,730,,760,,PHILADELPHIA
JOHNS HOPKINS UNIVERSITY,730,,760,,BALTIMORE
CORNELL UNIVERSITY-ENDOWED COLLEGES,730,,760,,ITHACA
JOHNS HOPKINS UNIVERSITY,730,,760,,BALTIMORE
JOHNS HOPKINS UNIVERSITY,730,,760,,BALTIMORE
Cornell University,730,,760,,Ithaca
Johns Hopkins University,730,,760,,Baltimore
Johns Hopkins University,730,730,760,84200,Baltimore
University of California-Berkeley,730,740,760,78600,Berkeley
Cornell University,720,,760,,Ithaca
Case Western Reserve University,720,700,760,,Cleveland
Case Western Reserve University,720,710,760,,Cleveland
Claremont McKenna College,720,730,760,80600,Claremont
University of Michigan-Ann Arbor,720,730,760,,Ann Arbor
University of Southern California,720,740,760,,Los Angeles
University of Southern California,720,750,760,,Los Angeles
Carnegie Mellon University,710,,760,,Pittsburgh
WEBB INSTITUTE,710,,760,,GLEN COVE
Rensselaer Polytechnic Institute,710,700,760,85500,Troy
Brandeis University,710,720,760,,Waltham
Bryn Mawr College,710,720,760,,Bryn Mawr
Emory University,710,730,760,,Atlanta
CARNEGIE MELLON UNIVERSITY,700,,760,,PITTSBURGH
Rensselaer Polytechnic Institute,700,690,760,,Troy
Georgia Institute of Technology-Main Campus,700,700,760,,Atlanta
University of California-Berkeley,700,710,760,74600,Berkeley
University of Michigan-Ann Arbor,700,720,760,,Ann Arbor
Emory University,700,730,760,73800,Atlanta
Cooper Union for the Advancement of Science and Art,690,,760,,New York
Georgia Institute of Technology-Main Campus,690,700,760,,Atlanta
University of California-Los Angeles,680,710,760,,Los Angeles
WILLIAMS COLLEGE,760,,750,,WILLIAMSTOWN
Claremont McKenna College,760,,750,,Claremont
